;X;jml_art;atap;dinding;lantai;fasbab;penerangan;airminum;ltkapita
3;3;5;1;1;1;1;1;1;14
14;14;3;1;1;2;1;1;1;26.67
18;18;5;1;1;2;1;1;1;11
22;22;6;2;4;2;1;1;1;7.5
25;25;6;1;3;1;4;1;1;3.33
29;29;3;1;2;2;1;1;1;9.33
33;33;3;2;4;1;1;2;1;9
41;41;4;1;4;2;2;1;1;7.5
44;44;4;1;1;1;1;1;2;9
45;45;4;1;4;2;1;1;1;8.75
54;54;4;2;3;1;2;1;2;7.5
63;63;2;1;4;2;1;1;1;24
70;70;3;1;2;1;1;1;1;28
73;73;3;1;1;1;2;1;1;12
78;78;4;1;1;2;1;1;1;16
79;79;4;1;1;1;1;1;1;50
89;89;6;1;2;2;1;1;1;10
91;91;5;2;2;2;1;1;1;4.8
94;94;3;1;1;1;1;2;1;14
